Nombre_Tipo_Entidad,Tipo_de_persona,Tipo_de_crédito,Tipo_de_garantía,Producto de crédito,Plazo de crédito,Nombre_Entidad,by_month_fecha_corte,Tasa_efectiva_promedio_ponderada
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,BBVA Colombia,02/01/2025 12:00:00 AM,18.55
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,BBVA Colombia,05/01/2025 12:00:00 AM,14.48
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Comerciales con recursos provenientes de redescuento,Más de 30 días y hasta 1 año,Banagrario,02/01/2025 12:00:00 AM,12.95
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Comerciales con recursos provenientes de redescuento,Más de 30 días y hasta 1 año,Banagrario,03/01/2025 12:00:00 AM,19.155
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Comerciales con recursos provenientes de redescuento,Más de 30 días y hasta 1 año,Banagrario,04/01/2025 12:00:00 AM,16.48
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Comerciales con recursos provenientes de redescuento,Más de 30 días y hasta 1 año,Banagrario,05/01/2025 12:00:00 AM,15.9
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Comerciales con recursos provenientes de redescuento,Más de 30 días y hasta 1 año,Scotiabank Colpatria S.A.,05/01/2025 12:00:00 AM,11.15
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Comerciales con recursos provenientes de redescuento,Más de 3 años y hasta 5 años,Banagrario,03/01/2025 12:00:00 AM,12.99
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Comerciales con recursos provenientes de redescuento,Más de 3 años y hasta 5 años,Banagrario,04/01/2025 12:00:00 AM,12.97
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Comerciales con recursos provenientes de redescuento,Más de 3 años y hasta 5 años,BBVA Colombia,04/01/2025 12:00:00 AM,14.09
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Comerciales con recursos provenientes de redescuento,Más de 5 años y hasta 7 años,Banagrario,02/01/2025 12:00:00 AM,13.38
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Comerciales con recursos provenientes de redescuento,Más de 5 años y hasta 7 años,Banagrario,03/01/2025 12:00:00 AM,16.09
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Comerciales con recursos provenientes de redescuento,Más de 5 años y hasta 7 años,Banagrario,04/01/2025 12:00:00 AM,17.175
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Comerciales con recursos provenientes de redescuento,Más de 5 años y hasta 7 años,Banagrario,05/01/2025 12:00:00 AM,16.26
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Comerciales con recursos provenientes de redescuento,Más de 5 años y hasta 7 años,BBVA Colombia,03/01/2025 12:00:00 AM,15.96
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 1 año y hasta 3 años,Bancolombia,02/01/2025 12:00:00 AM,16.118378378378378
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 1 año y hasta 3 años,Bancolombia,03/01/2025 12:00:00 AM,16.42875
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 1 año y hasta 3 años,Bancolombia,04/01/2025 12:00:00 AM,16.39765
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 1 año y hasta 3 años,Bancolombia,05/01/2025 12:00:00 AM,16.53969465648855
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 1 año y hasta 3 años,Banco Serfinanza S.A.,02/01/2025 12:00:00 AM,15.931818181818182
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 1 año y hasta 3 años,Banco Serfinanza S.A.,04/01/2025 12:00:00 AM,15.99
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 1 año y hasta 3 años,BBVA Colombia,04/01/2025 12:00:00 AM,19.02
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 30 días y hasta 1 año,Bancolombia,02/01/2025 12:00:00 AM,15.718888888888889
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 30 días y hasta 1 año,Bancolombia,03/01/2025 12:00:00 AM,16.797619047619048
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 30 días y hasta 1 año,Bancolombia,04/01/2025 12:00:00 AM,15.157777777777778
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 30 días y hasta 1 año,Bancolombia,05/01/2025 12:00:00 AM,17.63
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 30 días y hasta 1 año,Banco Serfinanza S.A.,02/01/2025 12:00:00 AM,15.715
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 30 días y hasta 1 año,Banco Serfinanza S.A.,03/01/2025 12:00:00 AM,13.22375
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 30 días y hasta 1 año,Banco Serfinanza S.A.,05/01/2025 12:00:00 AM,13.155
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 3 años y hasta 5 años,Bancolombia,02/01/2025 12:00:00 AM,15.73
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 3 años y hasta 5 años,Bancolombia,03/01/2025 12:00:00 AM,15.113333333333333
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 3 años y hasta 5 años,Bancolombia,04/01/2025 12:00:00 AM,16.005
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 3 años y hasta 5 años,Bancolombia,05/01/2025 12:00:00 AM,15.49
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 3 años y hasta 5 años,Banco Serfinanza S.A.,02/01/2025 12:00:00 AM,16.04
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 3 años y hasta 5 años,Banco Serfinanza S.A.,03/01/2025 12:00:00 AM,15.735
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 3 años y hasta 5 años,Banco Serfinanza S.A.,04/01/2025 12:00:00 AM,16.03
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 3 años y hasta 5 años,Banco Serfinanza S.A.,05/01/2025 12:00:00 AM,15.2825
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 3 años y hasta 5 años,BBVA Colombia,04/01/2025 12:00:00 AM,19.19
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 5 años y hasta 7 años,Bancolombia,02/01/2025 12:00:00 AM,15.6
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 5 años y hasta 7 años,Bancolombia,04/01/2025 12:00:00 AM,14.280000000000001
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 5 años y hasta 7 años,Banco Serfinanza S.A.,03/01/2025 12:00:00 AM,15.73
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 5 años y hasta 7 años,Banco Serfinanza S.A.,05/01/2025 12:00:00 AM,16
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Empresarial en pesos,Más de 5 años y hasta 7 años,BBVA Colombia,02/01/2025 12:00:00 AM,16.05
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía del fondo agropecuario de garantías (FAG),Otros Comercial,Más de 30 días y hasta 1 año,Banagrario,02/01/2025 12:00:00 AM,13.21
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,AV Villas,02/01/2025 12:00:00 AM,11.49
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Banagrario,04/01/2025 12:00:00 AM,23.57
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Banagrario,05/01/2025 12:00:00 AM,23.985
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Banco GNB Sudameris,02/01/2025 12:00:00 AM,10.89
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Banco GNB Sudameris,03/01/2025 12:00:00 AM,10.41
BC-ESTABLECIMIENTO BANCARIO,Jurídica,Comercial ordinario,Garantía  fondo nacional de garantías (FNG) o Fondo de Garantías de Antioquia (FGA),Comerciales con recursos provenientes de redescuento,Más de 1 año y hasta 3 años,Bancolombia,02/01/2025 12:00:00 AM,21.222173913043478
